#Site	X	Y	Z
s000	-121.612982	47.628687	-1.000000
s001	-127.983489	44.365155	-1.000000
s002	-127.749628	45.735429	-1.000000
s003	-123.350223	46.129591	-1.000000
s004	-124.722886	47.256591	-1.000000
s005	-121.634109	47.461605	-1.000000
s006	-119.890760	42.130634	-1.000000
s007	-123.609386	45.133983	-1.000000
s008	-123.989470	47.989057	-1.000000
s009	-120.697530	44.556228	-1.000000
s010	-127.218005	42.400906	-1.000000
s011	-127.230149	48.346912	-1.000000
s012	-123.107849	42.474276	-1.000000
s013	-126.918171	45.114353	-1.000000
s014	-123.113671	45.375199	-1.000000
s015	-120.224643	44.503446	-1.000000
s016	-123.265162	45.245698	-1.000000
s017	-122.907728	45.528426	-1.000000
s018	-120.072297	45.355367	-1.000000
s019	-119.991950	45.271641	-1.000000
s020	-119.883980	44.221339	-1.000000
s021	-127.644257	47.561659	-1.000000
s022	-124.718673	44.112431	-1.000000
s023	-123.051358	42.060991	-1.000000
s024	-124.097409	43.878245	-1.000000
s025	-124.638054	46.705427	-1.000000
s026	-127.885885	44.327479	-1.000000
s027	-127.435121	47.243404	-1.000000
s028	-121.607208	42.203630	-1.000000
s029	-119.613277	44.077366	-1.000000
s030	-122.754429	47.486098	-1.000000
s031	-126.657327	43.880605	-1.000000
s032	-121.108323	47.970235	-1.000000
s033	-120.247282	44.706072	-1.000000
s034	-120.238278	43.404986	-1.000000
s035	-121.963700	45.975030	-1.000000
s036	-123.738534	47.216044	-1.000000
s037	-120.506943	44.778731	-1.000000
s038	-125.929533	46.173138	-1.000000
s039	-120.736087	44.841103	-1.000000
