#Site	Y	X	Z
s000	47.628687	-121.612982	-1.000000
s001	44.365155	-127.983489	-1.000000
s002	45.735429	-127.749628	-1.000000
s003	46.129591	-123.350223	-1.000000
s004	47.256591	-124.722886	-1.000000
s005	47.461605	-121.634109	-1.000000
s006	42.130634	-119.890760	-1.000000
s007	45.133983	-123.609386	-1.000000
s008	47.989057	-123.989470	-1.000000
s009	44.556228	-120.697530	-1.000000
s010	42.400906	-127.218005	-1.000000
s011	48.346912	-127.230149	-1.000000
s012	42.474276	-123.107849	-1.000000
s013	45.114353	-126.918171	-1.000000
s014	45.375199	-123.113671	-1.000000
s015	44.503446	-120.224643	-1.000000
s016	45.245698	-123.265162	-1.000000
s017	45.528426	-122.907728	-1.000000
s018	45.355367	-120.072297	-1.000000
s019	45.271641	-119.991950	-1.000000
s020	44.221339	-119.883980	-1.000000
s021	47.561659	-127.644257	-1.000000
s022	44.112431	-124.718673	-1.000000
s023	42.060991	-123.051358	-1.000000
s024	43.878245	-124.097409	-1.000000
s025	46.705427	-124.638054	-1.000000
s026	44.327479	-127.885885	-1.000000
s027	47.243404	-127.435121	-1.000000
s028	42.203630	-121.607208	-1.000000
s029	44.077366	-119.613277	-1.000000
s030	47.486098	-122.754429	-1.000000
s031	43.880605	-126.657327	-1.000000
s032	47.970235	-121.108323	-1.000000
s033	44.706072	-120.247282	-1.000000
s034	43.404986	-120.238278	-1.000000
s035	45.975030	-121.963700	-1.000000
s036	47.216044	-123.738534	-1.000000
s037	44.778731	-120.506943	-1.000000
s038	46.173138	-125.929533	-1.000000
s039	44.841103	-120.736087	-1.000000
